Program,ArraySize,Compiler,Optimization,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Average
slow,60000000,gcc,o2,6.87017,6.7858,6.88401,6.81278,6.86907,6.83676,6.88036,6.90239,6.77364,6.86048,
slow,60000000,polly,interchanged,1.8309,1.8401,2.84577,1.83519,1.83612,1.83235,1.85926,1.85484,1.84206,1.84018,
slow,60000000,polly,interchanged+tiled,1.83325,1.83951,1.82497,1.83582,1.83233,1.82366,1.91094,1.82983,1.82313,1.8243,
slow,60000000,polly,interchanged+tiled+vector,1.82744,1.8314,1.82557,1.83127,1.83607,1.83424,1.8296,1.82873,1.83395,1.83187,
slow,60000000,polly,interchanged+tiled+vector+openmp,1.83516,1.85612,1.8798,1.88425,1.86317,1.84018,1.86006,1.91277,1.87666,1.8899,
slow,60000000,polly,normalopt,1.83898,1.83698,1.83751,1.89314,1.85593,1.8299,1.83484,1.82883,1.83083,1.82802,
slow,70000000,gcc,o2,64.8663,64.8578,64.9822,64.8432,64.5578,64.5989,64.4683,64.5919,64.5837,64.5871,
slow,70000000,polly,interchanged,58.8052,58.9729,59.6039,59.2244,58.9864,58.5794,59.2799,58.9971,58.7821,58.7903,
slow,70000000,polly,interchanged+tiled,58.7496,58.7106,58.7614,58.9492,58.7269,59.01,59.401,59.018,58.9263,58.6305,
slow,70000000,polly,interchanged+tiled+vector,58.6839,58.9379,58.9029,59.207,59.7953,59.2516,58.9532,59.6947,59.4051,58.8548,
slow,70000000,polly,interchanged+tiled+vector+openmp,58.8228,58.7537,58.5621,59.0919,58.9156,59.1189,59.1169,59.0062,59.1833,59.7854,
slow,70000000,polly,normalopt,58.6404,58.7583,58.7319,58.7381,58.6851,58.7523,58.7711,58.7536,58.6847,58.8563,
slow,80000000,gcc,o2,37.4317,37.4781,37.4392,37.3968,37.5019,37.5454,37.9039,38.2176,37.5797,37.4559,
slow,80000000,polly,interchanged,30.903,30.7544,30.8596,30.9824,30.9144,31.4432,31.0911,31.2317,31.4836,31.4492,
slow,80000000,polly,interchanged+tiled,31.054,30.9107,31.0117,30.821,31.0357,31.0743,31.0402,30.9364,31.0981,31.4607,
slow,80000000,polly,interchanged+tiled+vector,30.9049,30.7854,30.8311,31.0141,31.6528,31.1088,30.89,31.0355,31.1686,31.49,
slow,80000000,polly,interchanged+tiled+vector+openmp,31.3445,31.1336,30.8374,31.4664,31.5022,31.3826,30.8791,31.1482,31.1448,30.7977,
slow,80000000,polly,normalopt,30.8714,30.942,30.9082,30.7539,30.8295,30.9556,30.7098,30.9087,30.745,30.8982,
slow,90000000,gcc,o2,16.2888,16.4675,16.3507,16.5407,16.6785,16.3277,16.4303,16.3768,16.5202,16.3641,
slow,90000000,polly,interchanged,9.03436,8.89248,9.00536,8.97079,8.94112,9.02216,8.94645,8.98601,8.88542,8.97972,
slow,90000000,polly,interchanged+tiled,8.97625,8.96263,8.9434,8.87001,8.85669,8.84635,8.86544,8.87159,8.85642,8.84851,
slow,90000000,polly,interchanged+tiled+vector,9.02297,8.89436,8.9002,9.13865,9.07042,8.97761,9.04248,9.0327,9.08555,8.87304,
slow,90000000,polly,interchanged+tiled+vector+openmp,8.88106,9.0203,9.04434,9.14954,9.02456,9.05087,9.0685,8.97199,8.91368,8.93575,
slow,90000000,polly,normalopt,8.88326,8.89779,8.8679,8.8888,8.98914,8.89596,8.92448,8.86606,8.89557,8.88455,
slow,100000000,gcc,o2,21.4462,21.351,21.3827,21.2445,21.1392,21.3283,21.1867,21.2357,21.2323,21.1272,
slow,100000000,polly,interchanged,12.9335,12.9261,12.9367,13.0183,12.899,12.9069,12.9639,12.8959,12.8906,12.9214,
slow,100000000,polly,interchanged+tiled,12.8932,12.8534,12.8726,12.8986,12.8493,12.9271,12.8766,12.8641,12.8455,12.8721,
slow,100000000,polly,interchanged+tiled+vector,12.8811,12.87,12.9366,12.8727,12.956,12.8839,12.8809,13.4017,16.3625,16.6356,
slow,100000000,polly,interchanged+tiled+vector+openmp,13.3406,12.9684,12.9502,12.9043,13.054,13.7173,13.2175,13.0588,12.8602,12.8952,
slow,100000000,polly,normalopt,12.9752,12.8952,12.9289,12.9814,12.9183,13.0076,12.8804,12.926,12.9772,12.8793,
